Date,EMA_Dir,Box_Size,Break_Dir,Break_Dist,Aligned,Retest,MFE_Boxes,MAE_Boxes,Rev_MFE_Boxes,Reward_R,Notes
2026-06-01,Sell,31.63,Buy,0.02,No,Yes,0.5,0,,0.6666666666666666,
2026-06-02,Buy,24.12,Sell,0.001,No,Yes,0.005,0.5,,0.006666666666666667,
2026-06-03,Sell,31.89,Buy,0.001,No,Yes,0.002,0.85,,-1,
2026-06-04,Buy,33.81,Sell,0.05,No,No,0.65,0.05,,0.8666666666666667,
2026-06-05,Sell,59.88,Sell,0.05,Yes,Yes,0.6,0.3,,0.7999999999999999,
2026-06-08,Buy,30.8,None,,-,,,,,,
2026-06-09,Buy,57.31,Sell,0.05,No,Yes,1.2,,,1.5999999999999999,
2026-06-10,Sell,44.35,Sell,0.05,Yes,Yes,2.7,,,2.6666666666666665,
2026-06-11,Sell,39.6,Buy,0.2,No,Yes,3.2,,,2.6666666666666665,
2026-06-12,Buy,29.11,Buy,0.05,Yes,Yes,0.95,0.15,,1.2666666666666666,
2026-06-15,Buy,17.22,Sell,0.05,No,Yes,2.6,0.55,,2.6666666666666665,
2026-06-16,Buy,27.26,Buy,0.05,Yes,Yes,0.25,0.55,,0.3333333333333333,
2026-06-17,Buy,31.32,Buy,0.5,Yes,Yes,0.6,1,3.7,-1,
2026-06-18,Sell,39.26,Sell,0.05,Yes,No,0.95,,,1.2666666666666666,
2026-06-19,Sell,24.48,None,,-,,,,,,
2026-06-22,Buy,27.76,Sell,0.05,No,Yes,0.4,0.3,,0.5333333333333333,
2026-06-23,Sell,34.91,None,,-,,,,,,
2026-06-24,Sell,67.78,Sell,0.07,Yes,Yes,0.15,0.4,,0.19999999999999998,
2026-06-25,Buy,29.48,Buy,0.25,Yes,Yes,0.4,0.1,,0.5333333333333333,
2026-06-26,Buy,48,Buy,0.05,Yes,Yes,0.05,0.6,,0.06666666666666667,
2026-06-29,Sell,44.18,None,,-,,,,,,
2026-06-30,Sell,50.1,None,,-,,, ,,,
2026-07-01,Buy,69.51,None,,-,,,,,,
2026-07-02,Buy,33.72,Sell,0.1,No,Yes,0.1,0.45,,0.13333333333333333,
2026-07-03,Buy,16.55,None,,-,,,,,,
2026-07-06,Sell,18.13,Sell,0.05,Yes,Yes,0.06,1,1.2,-1,
2026-07-07,Buy,29.26,Sell,0.05,No,Yes,2,0.2,,2.6666666666666665,
2026-07-08,Sell,28.81,Sell,0.15,Yes,No,1,1,0.2,-1,
2026-07-09,Buy,21.79,None,,-,,,,,,
2026-07-10,Sell,36.46,Buy,0.05,No,Yes,0.1,0.3,,0.13333333333333333,
2026-07-13,Sell,61.65,Sell,0.05,Yes,Yes,0.2,0.05,,0.26666666666666666,
2026-07-14,Buy,19.42,Buy,0.15,Yes,,0.2,1,1,-1,
2026-07-15,Buy,11.5,Sell,0.05,No,Yes,2.2,0,,2.6666666666666665,
2026-07-16,Sell,26.54,Buy,0.05,No,Yes,0.2,1,0.3,-1,
2026-07-17,Sell,40.38,Buy,0.2,No,Yes,0.48,0.05,,0.64,
2026-07-20,Sell,19.18,Buy,0.05,No,Yes,0.05,0.85,,-1,
2026-07-21,Buy,29.11,Buy,0.1,Yes,Yes,0.35,0.1,,0.4666666666666666,
2026-07-22,Buy,31.1,Buy,0.05,Yes,Yes,0.05,1,,-1,
2026-07-23,Sell,27.16,None,,-,,,,,,
2026-07-24,Buy,25.13,Buy,0.1,Yes,,0.3,0.8,,-1,
2026-07-27,Sell,23.31,Buy,0.05,No,Yes,0.1,0.8,,-1,
2026-07-28,Sell,21.78,Buy,0.05,No,Yes,0.6,0.5,,0.7999999999999999,
2026-07-29,Sell,21.95,Buy,0.25,No,No,4.5,,,2.6666666666666665,
2026-07-30,Buy,45.17,None,,-,,,,,,
2026-07-31,Sell,22.79,Buy,0.05,No,Yes,0.5,0.3,,0.6666666666666666,
2026-08-03,Sell,17.05,Buy,0.05,No,Yes,1.15,0.2,,1.5333333333333332,
2026-08-04,Buy,17.91,Buy,0.3,Yes,Yes,0.35,1,,-1,
2026-08-05,Buy,52.75,Buy,0.1,Yes,Yes,0.45,0.3,,0.6,
2026-08-06,Sell,29.27,Sell,0.3,Yes,No,0.75,0.1,,1,
2026-08-07,Buy,40.51,None,,-,,,,,,
2026-08-10,Sell,35.1,Buy,0.05,No,Yes,1.1,0.05,,1.4666666666666668,
2026-08-11,Buy,22.95,Sell,0.1,No,Yes,0.9,0.1,,1.2,
2026-08-12,Buy,31.27,Sell,0.15,No,Yes,0.3,0.3,,0.39999999999999997,
2026-08-13,Buy,32.96,Sell,0.05,No,Yes,0.3,0.5,,0.39999999999999997,
2026-08-14,Buy,14.05,Sell,0.15,No,Yes,0.2,0.9,,-1,
2026-08-17,Sell,42.94,None,,-,,,,,,
2026-08-18,Sell,31.41,Sell,0.1,Yes,Yes,1.3,,,1.7333333333333334,
2026-08-19,Buy,48.92,Buy,0.05,Yes,Yes,0.6,0.4,,0.7999999999999999,
2026-08-20,Sell,27.61,Buy,0.05,No,No,1.6,,,2.1333333333333333,
2026-08-21,Buy,30.24,Buy,0.05,Yes,No,1.01,,,1.3466666666666667,لبه تمیز، retest سریع در ۱۰:۴۵
